kept_transcripts	age<50&storm	ref	var
DDX12P	1	82	1
DES	0	682	3
DES	1	83	0
DGAT1	0	684	1
DGAT1	1	83	0
DGUOK	0	684	1
DGUOK	1	83	0
DHCR7	0	671	14
DHCR7	1	80	3
DHODH	0	684	1
DHODH	1	83	0
DHTKD1	0	680	5
DHTKD1	1	83	0
DIAPH1	0	684	1
DIAPH1	1	83	0
DIAPH3	0	679	6
DIAPH3	1	81	2
DICER1	0	684	1
DICER1	1	83	0
DLD	0	684	1
DLD	1	83	0
DMGDH	0	684	1
DMGDH	1	83	0
DNA2	0	678	7
DNA2	1	82	1
DNAAF1	0	684	1
DNAAF1	1	83	0
DNAAF2	0	683	2
DNAAF2	1	83	0
DNAAF4	0	670	15
DNAAF4	1	83	0
DNAH11	0	682	3
DNAH11	1	82	1
DNAH5	0	683	2
DNAH5	1	82	1
DNAH9	0	626	59
DNAH9	1	76	7
DNAI2	0	684	1
DNAI2	1	83	0
DNAJB2	0	681	4
DNAJB2	1	83	0
DNASE1	0	684	1
DNASE1	1	82	1
DNASE1L3	0	684	1
DNASE1L3	1	83	0
DNMT3A	0	678	7
DNMT3A	1	83	0
DOCK6	0	684	1
DOCK6	1	83	0
DOCK7	0	683	2
DOCK7	1	83	0
DOCK8	0	684	1
DOCK8	1	83	0
DOLK	0	672	13
DOLK	1	82	1
DPYD	0	679	6
DPYD	1	83	0
DPYS	0	684	1
DPYS	1	83	0
DSC2	0	666	19
DSC2	1	81	2
DSC3	0	684	1
DSC3	1	83	0
DSG1-AS1	0	682	3
DSG1-AS1	1	83	0
DST	0	684	1
DST	1	82	1
DUOX1	0	682	3
DUOX1	1	83	0
DUOX2	0	675	10
DUOX2	1	82	1
DUOXA1	0	683	2
DUOXA1	1	83	0
DUOXA2	0	684	1
DUOXA2	1	83	0
DYNC2H1	0	683	2
DYNC2H1	1	81	2
DYNC2I1	0	681	4
DYNC2I1	1	83	0
DYNC2I2	0	685	0
DYNC2I2	1	82	1
DYRK1B	0	675	10
DYRK1B	1	83	0
DYSF	0	684	1
DYSF	1	83	0
EARS2	0	685	0
EARS2	1	82	1
ECEL1	0	684	1
ECEL1	1	83	0
EDN3	0	677	8
EDN3	1	83	0
EEF2	0	684	1
EEF2	1	83	0
EGF	0	681	4
EGF	1	79	4
EGLN1	0	683	2
EGLN1	1	83	0
EHMT1	0	677	8
EHMT1	1	82	1
EIF2AK4	0	681	4
EIF2AK4	1	83	0
EIF2B3	0	678	7
EIF2B3	1	83	0
EIF2B4	0	683	2
EIF2B4	1	83	0
ELAC2	0	683	2
ELAC2	1	83	0
ELMOD2	0	684	1
ELMOD2	1	83	0
ELOVL5	0	672	13
ELOVL5	1	80	3
EMP2	0	684	1
EMP2	1	83	0
EMX2	0	684	1
EMX2	1	83	0
ENAM	0	681	4
ENAM	1	83	0
ENO3	0	683	2
ENO3	1	83	0
EOGT	0	685	0
EOGT	1	82	1
EP300	0	664	21
EP300	1	80	3
EPB42	0	685	0
EPB42	1	82	1
EPS8	0	684	1
EPS8	1	83	0
ERBB2	0	684	1
ERBB2	1	83	0
ERCC2	0	682	3
ERCC2	1	83	0
ERCC3	0	682	3
ERCC3	1	83	0
ERCC6	0	683	2
ERCC6	1	83	0
ERCC6L2	0	683	2
ERCC6L2	1	83	0
ESCO2	0	677	8
ESCO2	1	83	0
ESPN	0	651	34
ESPN	1	74	9
ETFB	0	633	52
ETFB	1	77	6
ETFDH	0	675	10
ETFDH	1	83	0
ETHE1	0	684	1
ETHE1	1	83	0
EVC	0	684	1
EVC	1	83	0
EVI5	0	683	2
EVI5	1	83	0
EXO1	0	681	4
EXO1	1	82	1
EXOSC8	0	684	1
EXOSC8	1	83	0
EXPH5	0	684	1
EXPH5	1	83	0
EXT2	0	684	1
EXT2	1	83	0
EYA4	0	684	1
EYA4	1	83	0
EYS	0	681	4
EYS	1	82	1
F12	0	680	5
F12	1	83	0
F13B	0	685	0
F13B	1	82	1
F2	0	684	1
F2	1	83	0
F7	0	683	2
F7	1	83	0
FA2H	0	682	3
FA2H	1	83	0
FAM111A	0	666	19
FAM111A	1	81	2
FANCA	0	683	2
FANCA	1	83	0
FANCD2	0	685	0
FANCD2	1	82	1
FANCF	0	684	1
FANCF	1	83	0
FANCI	0	680	5
FANCI	1	83	0
FANCL	0	683	2
FANCL	1	83	0
FANCM	0	680	5
FANCM	1	83	0
FASLG	0	684	1
FASLG	1	83	0
FASN	0	684	1
FASN	1	83	0
FASTKD2	0	684	1
FASTKD2	1	83	0
FBLN1	0	684	1
FBLN1	1	83	0
FBXL4	0	682	3
FBXL4	1	83	0
FCGR2A	0	664	21
FCGR2A	1	81	2
FCGR3B	0	684	1
FCGR3B	1	83	0
FCN3	0	668	17
FCN3	1	81	2
FFAR4	0	684	1
FFAR4	1	83	0
FGA	0	684	1
FGA	1	83	0
FGFR1	0	667	18
FGFR1	1	80	3
FIG4	0	682	3
FIG4	1	83	0
FKBP10	0	684	1
FKBP10	1	82	1
FKBP14	0	681	4
FKBP14	1	82	1
FKRP	0	683	2
FKRP	1	83	0
FKTN	0	684	1
FKTN	1	83	0
FLG	0	589	96
FLG	1	66	17
FLNB	0	684	1
FLNB	1	83	0
FLNC	0	683	2
FLNC	1	83	0
FLT3	0	684	1
FLT3	1	83	0
FOLH1	0	684	1
FOLH1	1	83	0
FOLR1	0	683	2
FOLR1	1	82	1
FOXL2	0	684	1
